One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: All Occupations (SOC code 00-0000),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$55,350",,,,,
Alaska (02-00000),"$72,810",,,,,
Arizona (04-00000),"$65,740",,,,,
Arkansas (05-00000),"$53,070",,,,,
California (06-00000),"$79,900",,,,,
Colorado (08-00000),"$75,560",,,,,
Connecticut (09-00000),"$76,050",,,,,
Delaware (10-00000),"$67,640",,,,,
District of Columbia (11-00000),"$109,420",,,,,
Florida (12-00000),"$62,990",,,,,
Georgia (13-00000),"$64,210",,,,,
Guam (66-00000),"$44,480",,,,,
Hawaii (15-00000),"$68,280",,,,,
Idaho (16-00000),"$58,440",,,,,
Illinois (17-00000),"$69,020",,,,,
Indiana (18-00000),"$58,800",,,,,
Iowa (19-00000),"$58,350",,,,,
Kansas (20-00000),"$58,230",,,,,
Kentucky (21-00000),"$56,310",,,,,
Louisiana (22-00000),"$55,130",,,,,
Maine (23-00000),"$63,760",,,,,
Maryland (24-00000),"$76,130",,,,,
Massachusetts (25-00000),"$83,050",,,,,
Michigan (26-00000),"$63,120",,,,,
Minnesota (27-00000),"$68,880",,,,,
Mississippi (28-00000),"$49,740",,,,,
Missouri (29-00000),"$59,630",,,,,
Montana (30-00000),"$58,160",,,,,
Nebraska (31-00000),"$60,230",,,,,
Nevada (32-00000),"$60,310",,,,,
New Hampshire (33-00000),"$68,800",,,,,
New Jersey (34-00000),"$76,320",,,,,
New Mexico (35-00000),"$60,290",,,,,
New York (36-00000),"$80,630",,,,,
North Carolina (37-00000),"$62,440",,,,,
North Dakota (38-00000),"$61,810",,,,,
Ohio (39-00000),"$62,280",,,,,
Oklahoma (40-00000),"$54,960",,,,,
Oregon (41-00000),"$70,290",,,,,
Pennsylvania (42-00000),"$63,690",,,,,
Puerto Rico (72-00000),"$36,130",,,,,
Rhode Island (44-00000),"$69,270",,,,,
South Carolina (45-00000),"$56,990",,,,,
South Dakota (46-00000),"$55,480",,,,,
Tennessee (47-00000),"$58,700",,,,,
Texas (48-00000),"$63,660",,,,,
Utah (49-00000),"$63,960",,,,,
Vermont (50-00000),"$66,330",,,,,
Virgin Islands (78-00000),"$51,630",,,,,
Virginia (51-00000),"$72,060",,,,,
Washington (53-00000),"$81,550",,,,,
West Virginia (54-00000),"$54,940",,,,,
Wisconsin (55-00000),"$61,690",,,,,
Wyoming (56-00000),"$60,200",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,