"Data Source","World Development Indicators",
"Netherlands","NLD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","5.5","5.1","5.1","4.6","4.4","4.5","5.5","7.5","",
"Norway","NOR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","5","4.8","4.8","4.1","4.3","5.2","6.8","7.8","",
"Nepal","NPL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","31.2","31.6","33.8","36.4","37.8","37.4","37","36.6","",
"Nauru","NRU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9","29.9","29.9","","",
"New Zealand","NZL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","11.3","13.3","13.9","14","14.5","15.1","16.4","17.3","",
"OECD members","OED","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1","12.1","12.8","14.2","24.3","32.6","41","41.7","42.1","",
"Panama","PAN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Peru","PER","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4","34.8","35","35.7","36.9","38.9","41.6","42.5","41","",
"Philippines","PHL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2","42.7","40.1","37.4","33.2","32.9","",
"Palau","PLW","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1","28.1","",
"Papua New Guinea","PNG","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3","57.3","57.3","","","","","",
"Poland","POL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","6.3","5.3","4.3","5.8","7.4","7.6","5.5","3.4","",
"Pre-demographic dividend","PRE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico (US)","PRI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","13.2","11.6","10.7","11.5","11.6","12.4","12.3","11.9","",
"Paraguay","PRY","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","10.6","15.6","21.3","24","25.3","25.9","26.2","","",
"West Bank and Gaza","PSE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","26.8","27.8","28.4","28.1","27.4","27","",
"Pacific island small states","PSS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Post-demographic dividend","PST","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"French Polynesia","PYF","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","16.6","14.7","14.5","13.9","13.4","16.2","19.1","18.6","",
"Russian Federation","RUS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","8.9","7.9","7.1","6","5.5","4.8","3.6","2.8","",
"Rwanda","RWA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Asia","SAS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saudi Arabia","SAU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sudan","SDN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","37.1","35.8","35.1","33.3","31.6","30.3","29.4","29.1","",
"Singapore","SGP","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","3.1","4.1","4.7","4.5","4.6","6.6","7.7","9.5","",
"Solomon Islands","SLB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8","81.5","83","83","85.3","86.7","89.2","88.6","89.8","",
"El Salvador","SLV","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","41.6","41.6","42.2","45.1","46.5","48.4","46.9","45.5","",
"San Marino","SMR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia, Fed. Rep.","SOM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5","","","",
"Serbia","SRB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","12.8","12.5","12.5","12","14.1","14.8","13","9.5","",
"Sub-Saharan Africa (excluding high income)","SSA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.1","84.9","85.7","86.4","87.3","87.3","88.1","",
"Sub-Saharan Africa","SSF","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Small states","SST","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.6","54.6","54.6","","",
"Suriname","SUR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8","35.8","35.8","","",
"Slovak Republic","SVK","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","5.3","5","5","6","7.7","8.3","9","7.5","",
"Slovenia","SVN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","11.8","11.2","10.2","8.2","7.4","7","7.9","8.2","",
"Sweden","SWE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","5.3","5.4","5.7","5.3","5.3","5.4","6","6.9","",
"Eswatini","SWZ","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.4","57.7","57.2","59","",
"Sint Maarten (Dutch part)","SXM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","14.3","14.3","","","","","","","",
"Syrian Arab Republic","SYR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9","71.3","74.7","76.3","75.9","72.2","69.4","67","66.3","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Togo","TGO","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.4","62.2","61.7","59.6","56.3","54.7","56","57","58.5","",
"Thailand","THA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","5.4","6.4","7.1","6.5","5.4","",
"Tajikistan","TJK","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","24.5","29.6","28.8","28.7","30.2","31","28","25.1","",
"Turkmenistan","TKM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.7","53.7","53.7","","","",
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","TMN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","20.4","17.6","14.8","","",
"South Asia (IDA & IBRD)","TSA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6","27.6","",
"Tunisia","TUN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2","19.4","20","22.1","25","28","28.5","26.7","25.4","",
"Turkiye","TUR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.8","55","56.6","56.1","56.3","57.6","58.7","58.2","58","",
"Uganda","UGA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3","71.3","76","75","73.1","69.8","65.9","59.5","54.6","",
"Ukraine","UKR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","22.3","21.5","18.3","19.9","22.7","28.2","31","32.5","",
"Upper middle income","UMC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uruguay","URY","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","14","14.1","15.2","15.7","16.2","",
"United States","USA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","9.8","8.9","8.4","8.2","8","8.6","9.3","10.3","",
"Uzbekistan","UZB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","13.4","14.9","17.2","19.7","23.6","26.1","26.1","24.4","",
"St. Vincent and the Grenadines","VCT","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3","33.3","33.3","","","","","",
"Venezuela, RB","VEN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","6.2","6.5","7.6","9","10.8","10.7","",
"Vanuatu","VUT","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","23.3","23.3","","","","",
"World","WLD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Samoa","WSM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6","23.2","22.5","21.4","20.4","19.3","18.6","",
"Kosovo","XKX","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7","49.6","46.6","46","49.4","58.5","67.2","72.5","73","",
"South Africa","ZAF","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4","18.2","19","19.2","20","20.7","",
"Zambia","ZMB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.2","52.4","52","54.2","52.5","51.8","47.9","46.1","45.3","",
"Zimbabwe","ZWE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.7","66.7","67","66.7","69.8","73","73.6","70.7","68.8","",
